Player,Tm,Opp,Res,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Data
Luke Kornet,BOS,WAS,W,16.22,2,3,0.667,0,0,0.0,0,0,0.0,1,3,4,1,0,0,0,4,4,3.4,2024-10-24
Keon Ellis,SAC,MIN,L,11.18,0,1,0.0,0,0,0.0,2,2,1.0,0,1,1,0,2,0,0,1,2,3.2,2024-10-24
Isaiah Joe,OKC,DEN,W,20.4,3,10,0.3,1,6,0.167,0,0,0.0,1,1,2,1,0,0,0,0,7,2.9,2024-10-24
Julian Strawther,DEN,OKC,L,17.25,3,6,0.5,0,2,0.0,0,0,0.0,0,0,0,1,1,0,1,2,6,2.9,2024-10-24
Charles Bassey,SAS,DAL,L,5.98,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,1,1,0,0,0,2.7,2024-10-24
Kyshawn George,WAS,BOS,L,20.28,2,6,0.333,0,4,0.0,0,0,0.0,0,3,3,2,1,0,0,3,4,2.7,2024-10-24
Jrue Holiday,BOS,WAS,W,22.75,1,4,0.25,0,1,0.0,5,5,1.0,0,2,2,1,0,0,2,3,7,2.7,2024-10-24
Donte DiVincenzo,MIN,SAC,W,26.65,4,10,0.4,1,6,0.167,0,0,0.0,1,0,1,2,0,0,2,3,9,2.5,2024-10-24
Keldon Johnson,SAS,DAL,L,24.78,3,9,0.333,1,3,0.333,0,0,0.0,0,4,4,2,0,0,2,0,7,2.5,2024-10-24
Dwight Powell,DAL,SAS,W,1.7,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,2,2.4,2024-10-24
Jaden Springer,BOS,WAS,W,5.55,0,1,0.0,0,0,0.0,1,2,0.5,2,1,3,1,0,0,0,0,1,2.3,2024-10-24
Alex Caruso,OKC,DEN,W,19.08,0,2,0.0,0,1,0.0,0,0,0.0,2,4,6,4,0,0,1,2,0,2.2,2024-10-24
Alex Len,SAC,MIN,L,5.67,1,1,1.0,0,0,0.0,1,2,0.5,0,2,2,0,0,1,1,1,3,2.2,2024-10-24
Trey Lyles,SAC,MIN,L,10.75,1,4,0.25,1,3,0.333,0,0,0.0,0,1,1,1,1,0,0,1,3,2.2,2024-10-24
Baylor Scheierman,BOS,WAS,W,8.07,1,3,0.333,0,2,0.0,2,2,1.0,0,1,1,0,0,0,0,1,4,2.2,2024-10-24
Peyton Watson,DEN,OKC,L,14.78,1,7,0.143,0,4,0.0,0,0,0.0,2,4,6,1,0,2,0,0,2,2.2,2024-10-24
Dario Å ariÄ,DEN,OKC,L,11.03,1,2,0.5,0,1,0.0,0,0,0.0,0,1,1,0,1,0,0,1,2,1.9,2024-10-24
Anthony Gill,WAS,BOS,L,3.18,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,1,1,0,1,0,2,1.7,2024-10-24
Drew Peterson,BOS,WAS,W,3.9,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,2,1,0,0,1.7,2024-10-24
Jaden McDaniels,MIN,SAC,W,27.48,2,9,0.222,0,4,0.0,2,2,1.0,2,0,2,3,0,1,2,3,6,1.5,2024-10-24
Jalen Williams,OKC,DEN,W,33.72,5,16,0.313,2,8,0.25,0,1,0.0,1,2,3,3,0,2,5,3,12,1.0,2024-10-24
Alex Sarr,WAS,BOS,L,21.87,1,7,0.143,0,5,0.0,0,0,0.0,1,4,5,1,0,2,0,2,2,0.7,2024-10-24
Justin Champagnie,WAS,BOS,L,3.9,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,1,0,0,0,3,0,0.5,2024-10-24
Trey Alexander,DEN,OKC,L,1.63,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.3,2024-10-24
Vlatko ÄanÄar,DEN,OKC,L,1.63,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.3,2024-10-24
Spencer Dinwiddie,DAL,SAS,W,2.95,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.3,2024-10-24
Joe Ingles,MIN,SAC,W,5.05,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,0.3,2024-10-24
Sandro Mamukelashvili,SAS,DAL,L,5.98,0,0,0.0,0,0,0.0,0,0,0.0,0,3,3,0,0,1,1,1,0,0.2,2024-10-24
Naji Marshall,DAL,SAS,W,21.23,1,6,0.167,0,2,0.0,0,0,0.0,0,1,1,3,0,0,0,1,2,0.2,2024-10-24
Alex Ducas,OKC,DEN,W,1.18,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2024-10-24
Adam Flagler,OKC,DEN,W,1.18,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2024-10-24
Kevin Huerter,SAC,MIN,L,19.6,1,4,0.25,0,3,0.0,0,0,0.0,0,4,4,0,0,0,0,2,2,0.0,2024-10-24
Olivier-Maxence Prosper,DAL,SAS,W,1.7,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2024-10-24
Dillon Jones,OKC,DEN,W,1.18,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-0.4,2024-10-24
Hunter Tyson,DEN,OKC,L,1.63,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-0.4,2024-10-24
Carlton Carrington,WAS,BOS,L,25.92,1,6,0.167,0,2,0.0,1,2,0.5,0,3,3,2,0,2,2,3,3,-0.7,2024-10-24
Johnny Davis,WAS,BOS,L,4.12,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,2024-10-24
Zeke Nnaji,DEN,OKC,L,1.63,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,2024-10-24
Jalen Pickett,DEN,OKC,L,1.63,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,2024-10-24
Al Horford,BOS,WAS,W,20.08,0,2,0.0,0,1,0.0,0,0,0.0,1,4,5,1,0,0,2,0,0,-0.8,2024-10-24
Doug McDermott,SAC,MIN,L,5.53,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-1.5,2024-10-24
Jordan Walsh,BOS,WAS,W,10.13,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,1,0,1,0,-1.8,2024-10-24
Ajay Mitchell,OKC,DEN,W,6.85,0,3,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,1,0,0,-2.1,2024-10-24
Quentin Grimes,DAL,SAS,W,14.98,1,6,0.167,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,-2.2,2024-10-24
JD Davison,BOS,WAS,W,8.07,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,3,1,0,-3.1,2024-10-24
Trae Young,ATL,CHO,W,41.47,11,24,0.458,5,14,0.357,11,13,0.846,3,5,8,10,4,0,7,1,38,32.0,2024-10-25
Coby White,CHI,MIL,W,34.37,12,20,0.6,7,13,0.538,4,4,1.0,0,6,6,5,4,0,3,1,35,31.7,2024-10-25
Anthony Davis,LAL,PHO,W,37.5,11,18,0.611,0,0,0.0,13,17,0.765,1,7,8,4,1,2,1,2,35,31.4,2024-10-25
Giannis Antetokounmpo,MIL,CHI,L,35.13,15,23,0.652,0,1,0.0,8,16,0.5,1,10,11,5,0,0,3,1,38,28.5,2024-10-25
Buddy Hield,GSW,UTA,W,19.92,10,14,0.714,7,9,0.778,0,0,0.0,0,4,4,6,1,0,0,0,27,27.6,2024-10-25
Austin Reaves,LAL,PHO,W,36.65,8,12,0.667,5,7,0.714,5,6,0.833,0,4,4,8,3,1,4,4,26,25.3,2024-10-25
Scottie Barnes,TOR,PHI,W,36.32,8,11,0.727,0,2,0.0,11,13,0.846,2,3,5,4,2,1,4,2,27,24.7,2024-10-25
Kevin Durant,PHO,LAL,L,38.57,11,17,0.647,2,3,0.667,6,7,0.857,0,4,4,6,0,1,3,3,30,24.0,2024-10-25
Franz Wagner,ORL,BRK,W,38.9,10,19,0.526,3,6,0.5,6,6,1.0,2,4,6,5,1,0,3,2,29,23.0,2024-10-25
Karl-Anthony Towns,NYK,IND,W,32.28,5,11,0.455,2,2,1.0,9,10,0.9,4,11,15,0,1,2,0,2,21,22.6,2024-10-25
Jerami Grant,POR,NOP,L,40.22,11,23,0.478,8,17,0.471,4,4,1.0,0,6,6,1,1,3,5,3,34,21.7,2024-10-25
Jalen Brunson,NYK,IND,W,29.92,10,19,0.526,3,5,0.6,3,4,0.75,2,3,5,5,0,0,1,1,26,20.7,2024-10-25
De'Andre Hunter,ATL,CHO,W,33.15,7,14,0.5,2,6,0.333,8,8,1.0,1,6,7,3,0,1,0,4,24,20.7,2024-10-25
Zach LaVine,CHI,MIL,W,33.28,9,15,0.6,2,6,0.333,5,6,0.833,1,4,5,1,0,2,1,0,25,20.7,2024-10-25
Jordan Hawkins,NOP,POR,W,29.02,8,12,0.667,4,7,0.571,4,4,1.0,1,4,5,0,0,0,0,1,24,20.3,2024-10-25
Miles Bridges,CHO,ATL,L,30.5,8,17,0.471,3,8,0.375,8,8,1.0,1,4,5,0,0,1,0,3,27,19.7,2024-10-25
Jarrett Allen,CLE,DET,W,31.22,5,7,0.714,0,0,0.0,7,8,0.875,0,11,11,2,1,1,1,0,17,19.1,2024-10-25
Josh Giddey,CHI,MIL,W,24.47,6,10,0.6,2,2,1.0,3,4,0.75,0,6,6,9,0,0,1,0,17,19.1,2024-10-25
Damian Lillard,MIL,CHI,L,35.78,11,21,0.524,3,12,0.25,3,3,1.0,0,4,4,8,0,0,5,1,28,19.1,2024-10-25
Jakob Poeltl,TOR,PHI,W,27.4,5,8,0.625,0,0,0.0,9,11,0.818,1,8,9,3,0,4,2,4,19,19.0,2024-10-25
Dean Wade,CLE,DET,W,26.78,7,9,0.778,5,7,0.714,0,1,0.0,0,5,5,1,2,0,0,2,19,18.5,2024-10-25
Kelly Oubre,PHI,TOR,L,39.13,9,17,0.529,3,6,0.5,7,8,0.875,0,2,2,2,2,0,4,3,28,18.1,2024-10-25
Mikal Bridges,NYK,IND,W,33.48,8,12,0.667,2,3,0.667,3,4,0.75,1,0,1,5,1,0,1,4,21,18.0,2024-10-25
LeBron James,LAL,PHO,W,34.7,7,13,0.538,2,5,0.4,5,8,0.625,0,4,4,8,0,0,2,1,21,17.9,2024-10-25
Dyson Daniels,ATL,CHO,W,24.4,8,10,0.8,2,4,0.5,0,0,0.0,0,1,1,4,2,2,1,5,18,17.7,2024-10-25
LaMelo Ball,CHO,ATL,L,28.72,10,20,0.5,9,14,0.643,5,6,0.833,1,4,5,4,1,1,10,6,34,17.6,2024-10-25
Cade Cunningham,DET,CLE,L,34.92,14,24,0.583,2,6,0.333,3,3,1.0,2,2,4,6,0,0,9,4,33,17.4,2024-10-25
CJ McCollum,NOP,POR,W,39.87,8,17,0.471,4,9,0.444,0,0,0.0,0,2,2,3,4,1,1,2,20,16.9,2024-10-25
Nikola VuÄeviÄ,CHI,MIL,W,32.0,7,17,0.412,4,9,0.444,4,4,1.0,2,8,10,4,0,0,1,4,22,16.9,2024-10-25
Jonathan Mogbo,TOR,PHI,W,23.77,3,8,0.375,0,1,0.0,6,7,0.857,5,4,9,5,2,3,2,2,12,16.7,2024-10-25
Dennis SchrÃ¶der,BRK,ORL,L,32.45,7,12,0.583,3,4,0.75,3,4,0.75,0,1,1,6,1,0,2,3,20,16.3,2024-10-25
Josh Hart,NYK,IND,W,36.67,8,15,0.533,1,6,0.167,3,4,0.75,3,7,10,3,1,0,3,1,20,16.2,2024-10-25
Brandon Ingram,NOP,POR,W,35.32,8,20,0.4,4,9,0.444,1,2,0.5,2,6,8,4,2,1,2,3,21,15.3,2024-10-25
Evan Mobley,CLE,DET,W,31.73,6,12,0.5,2,3,0.667,2,2,1.0,1,5,6,3,4,2,4,1,16,15.3,2024-10-25
Nick Richards,CHO,ATL,L,30.05,3,6,0.5,0,0,0.0,6,8,0.75,6,7,13,2,0,1,1,1,12,15.2,2024-10-25
Cam Thomas,BRK,ORL,L,35.05,7,17,0.412,3,5,0.6,7,8,0.875,1,5,6,3,0,0,3,2,24,15.0,2024-10-25
Zion Williamson,NOP,POR,W,29.1,4,15,0.267,0,1,0.0,8,14,0.571,3,8,11,7,1,3,1,3,16,15.0,2024-10-25
Dillon Brooks,HOU,MEM,W,31.2,5,12,0.417,2,6,0.333,6,6,1.0,3,1,4,0,2,0,0,3,18,14.8,2024-10-25
Jalen Green,HOU,MEM,W,31.75,8,21,0.381,4,8,0.5,2,6,0.333,2,4,6,4,3,1,2,3,22,14.8,2024-10-25
Scoot Henderson,POR,NOP,L,28.52,7,9,0.778,1,3,0.333,0,1,0.0,0,1,1,6,3,0,3,2,15,14.8,2024-10-25
Devin Booker,PHO,LAL,L,35.33,9,21,0.429,4,10,0.4,1,2,0.5,2,1,3,4,1,1,2,3,23,14.5,2024-10-25
Tari Eason,HOU,MEM,W,16.03,5,7,0.714,3,4,0.75,0,0,0.0,2,3,5,0,2,1,0,2,13,14.3,2024-10-25
Bennedict Mathurin,IND,NYK,L,23.6,8,13,0.615,2,5,0.4,2,4,0.5,0,2,2,1,1,0,1,1,20,14.2,2024-10-25
Paolo Banchero,ORL,BRK,W,37.22,4,13,0.308,1,2,0.5,6,11,0.545,1,5,6,9,0,1,0,2,15,13.9,2024-10-25
Jaden Ivey,DET,CLE,L,29.27,8,16,0.5,2,5,0.4,4,6,0.667,0,5,5,4,0,0,2,4,22,13.9,2024-10-25
Ty Jerome,CLE,DET,W,15.83,4,6,0.667,0,1,0.0,5,6,0.833,1,1,2,4,1,0,1,0,13,13.8,2024-10-25
Wendell Carter,ORL,BRK,W,31.45,3,5,0.6,1,3,0.333,1,2,0.5,1,10,11,4,2,0,0,1,8,13.4,2024-10-25
Anfernee Simons,POR,NOP,L,36.15,6,20,0.3,2,9,0.222,10,11,0.909,0,1,1,7,1,0,4,2,24,13.4,2024-10-25
Bradley Beal,PHO,LAL,L,35.43,6,14,0.429,3,6,0.5,0,0,0.0,0,1,1,9,2,1,2,4,15,13.3,2024-10-25
Trayce Jackson-Davis,GSW,UTA,W,16.9,6,6,1.0,0,0,0.0,0,0,0.0,3,6,9,2,0,0,1,3,12,13.3,2024-10-25
Jabari Smith,HOU,MEM,W,35.03,5,13,0.385,0,3,0.0,4,4,1.0,6,10,16,4,0,2,3,5,14,13.3,2024-10-25
Jarace Walker,IND,NYK,L,19.52,4,8,0.5,1,4,0.25,3,3,1.0,1,3,4,3,2,0,0,1,12,13.3,2024-10-25
Dorian Finney-Smith,BRK,ORL,L,26.45,6,10,0.6,3,6,0.5,0,0,0.0,3,3,6,0,1,0,1,1,15,13.0,2024-10-25
Desmond Bane,MEM,HOU,L,29.18,8,16,0.5,0,4,0.0,1,2,0.5,1,2,3,4,2,2,2,3,17,12.9,2024-10-25
Fred VanVleet,HOU,MEM,W,30.92,5,9,0.556,5,9,0.556,1,4,0.25,0,3,3,3,1,0,0,4,16,12.9,2024-10-25
Tyus Jones,PHO,LAL,L,32.4,5,8,0.625,2,4,0.5,2,2,1.0,0,2,2,4,1,0,2,0,14,12.8,2024-10-25
Zach Edey,MEM,HOU,L,22.58,6,10,0.6,0,0,0.0,1,3,0.333,4,5,9,1,1,1,0,4,13,12.7,2024-10-25
Taurean Prince,MIL,CHI,L,29.63,5,7,0.714,1,1,1.0,0,0,0.0,3,5,8,2,1,0,0,4,11,12.5,2024-10-25
Kyle Lowry,PHI,TOR,L,29.22,3,5,0.6,3,5,0.6,5,5,1.0,0,1,1,2,3,0,2,5,14,12.4,2024-10-25
Moritz Wagner,ORL,BRK,W,15.1,7,8,0.875,1,2,0.5,3,4,0.75,0,3,3,0,1,1,3,5,18,12.4,2024-10-25
Andrew Wiggins,GSW,UTA,W,23.37,3,10,0.3,2,4,0.5,2,2,1.0,5,8,13,5,0,2,1,4,10,12.4,2024-10-25
John Collins,UTA,GSW,L,23.7,4,10,0.4,1,3,0.333,5,5,1.0,2,5,7,4,1,1,3,2,14,12.2,2024-10-25
Alperen Sengun,HOU,MEM,W,31.7,5,13,0.385,0,2,0.0,6,8,0.75,5,10,15,2,1,0,3,5,16,12.0,2024-10-25
Ochai Agbaji,TOR,PHI,W,26.22,5,9,0.556,0,1,0.0,2,2,1.0,3,5,8,1,2,0,1,3,12,11.8,2024-10-25
Monte Morris,PHO,LAL,L,13.18,2,3,0.667,2,3,0.667,2,2,1.0,1,1,2,3,2,0,0,0,8,11.8,2024-10-25
Patrick Williams,CHI,MIL,W,36.08,5,11,0.455,2,4,0.5,1,1,1.0,1,4,5,2,3,0,1,2,13,11.8,2024-10-25
Brandin Podziemski,GSW,UTA,W,24.63,7,14,0.5,1,5,0.2,0,0,0.0,1,4,5,1,1,1,0,2,15,11.5,2024-10-25
Kevon Looney,GSW,UTA,W,13.42,4,6,0.667,0,0,0.0,1,2,0.5,7,3,10,1,0,1,1,2,9,11.4,2024-10-25
Kentavious Caldwell-Pope,ORL,BRK,W,25.77,3,7,0.429,2,5,0.4,2,2,1.0,0,1,1,2,2,2,0,1,10,11.0,2024-10-25
Caris LeVert,CLE,DET,W,19.6,4,7,0.571,1,2,0.5,0,2,0.0,1,2,3,2,3,1,0,1,9,10.9,2024-10-25
Tyrese Maxey,PHI,TOR,L,40.9,6,23,0.261,2,12,0.167,10,12,0.833,0,2,2,4,1,0,1,5,24,10.9,2024-10-25
Jalen Johnson,ATL,CHO,W,41.17,4,15,0.267,1,4,0.25,7,9,0.778,2,5,7,3,2,2,2,5,16,10.7,2024-10-25
Stephen Curry,GSW,UTA,W,27.42,7,20,0.35,4,13,0.308,2,2,1.0,0,3,3,4,2,0,3,3,20,10.3,2024-10-25
John Konchar,MEM,HOU,L,22.12,2,3,0.667,2,3,0.667,1,2,0.5,2,4,6,2,2,1,1,2,7,10.2,2024-10-25
Kyle Anderson,GSW,UTA,W,18.78,3,7,0.429,1,4,0.25,0,0,0.0,2,4,6,3,2,0,0,0,7,10.0,2024-10-25
Jamison Battle,TOR,PHI,W,14.73,4,5,0.8,2,3,0.667,2,4,0.5,3,3,6,0,0,0,0,6,12,9.9,2024-10-25
Scotty Pippen ,MEM,HOU,L,24.18,4,9,0.444,2,3,0.667,3,4,0.75,0,3,3,4,0,0,1,2,13,9.8,2024-10-25
Rui Hachimura,LAL,PHO,W,39.02,5,12,0.417,2,4,0.5,2,4,0.5,2,5,7,2,0,0,1,1,14,9.7,2024-10-25
Jaxson Hayes,LAL,PHO,W,17.53,3,3,1.0,0,0,0.0,0,0,0.0,1,5,6,4,1,1,1,3,6,9.6,2024-10-25
Myles Turner,IND,NYK,L,23.22,5,9,0.556,0,3,0.0,3,5,0.6,1,6,7,1,0,3,2,4,13,9.6,2024-10-25
Tobias Harris,DET,CLE,L,34.67,3,9,0.333,2,3,0.667,2,2,1.0,0,5,5,4,1,1,1,1,10,9.5,2024-10-25
Andre Drummond,PHI,TOR,L,22.37,4,11,0.364,0,0,0.0,3,8,0.375,6,3,9,0,4,2,2,5,11,9.4,2024-10-25
Bobby Portis,MIL,CHI,L,27.83,4,9,0.444,1,3,0.333,0,0,0.0,2,10,12,1,1,0,1,0,9,9.4,2024-10-25
Darius Garland,CLE,DET,W,33.03,5,11,0.455,3,7,0.429,0,0,0.0,0,2,2,6,1,0,3,2,13,9.3,2024-10-25
Anthony Black,ORL,BRK,W,26.03,4,6,0.667,1,1,1.0,1,2,0.5,0,3,3,5,0,2,2,4,10,9.2,2024-10-25
Obi Toppin,IND,NYK,L,19.8,4,6,0.667,0,1,0.0,0,0,0.0,0,1,1,4,0,1,0,0,8,9.2,2024-10-25
Yves Missi,NOP,POR,W,22.28,2,5,0.4,0,0,0.0,4,6,0.667,2,4,6,2,0,2,0,2,8,9.1,2024-10-25
Ja Morant,MEM,HOU,L,23.8,8,17,0.471,2,4,0.5,6,9,0.667,0,0,0,2,0,0,6,1,24,9.1,2024-10-25
Grant Williams,CHO,ATL,L,29.2,2,7,0.286,2,6,0.333,3,4,0.75,2,2,4,6,1,0,1,4,9,9.1,2024-10-25
Jay Huff,MEM,HOU,L,15.55,3,7,0.429,2,4,0.5,0,0,0.0,1,2,3,1,2,2,0,2,8,8.9,2024-10-25
Malik Beasley,DET,CLE,L,29.3,5,11,0.455,3,6,0.5,0,0,0.0,0,4,4,1,0,1,1,1,13,8.5,2024-10-25
Isaiah Jackson,IND,NYK,L,15.28,5,6,0.833,0,0,0.0,0,2,0.0,2,3,5,2,1,0,2,3,10,8.5,2024-10-25
Gary Trent,MIL,CHI,L,34.02,3,8,0.375,2,5,0.4,2,2,1.0,0,1,1,2,2,0,0,2,10,8.5,2024-10-25
Seth Curry,CHO,ATL,L,27.3,3,9,0.333,3,7,0.429,0,0,0.0,3,2,5,2,3,0,1,4,9,8.4,2024-10-25
Caleb Martin,PHI,TOR,L,33.78,2,6,0.333,0,1,0.0,7,10,0.7,4,1,5,4,0,1,3,4,11,8.4,2024-10-25
OG Anunoby,NYK,IND,W,34.02,6,12,0.5,1,4,0.25,1,2,0.5,0,4,4,1,1,0,1,3,14,8.3,2024-10-25
Onyeka Okongwu,ATL,CHO,W,26.45,3,6,0.5,1,2,0.5,0,0,0.0,0,8,8,3,1,0,0,3,7,8.3,2024-10-25
A.J. Green,MIL,CHI,L,11.25,3,4,0.75,3,4,0.75,0,0,0.0,0,1,1,1,0,0,0,1,9,8.0,2024-10-25
Dalton Knecht,LAL,PHO,W,13.32,2,5,0.4,2,4,0.5,2,2,1.0,0,1,1,2,1,0,0,0,8,8.0,2024-10-25
Donovan Mitchell,CLE,DET,W,30.12,8,21,0.381,1,8,0.125,2,4,0.5,1,1,2,5,0,0,2,3,19,8.0,2024-10-25
Moses Moody,GSW,UTA,W,18.78,5,10,0.5,2,5,0.4,0,0,0.0,0,1,1,1,2,0,2,0,12,8.0,2024-10-25
Clint Capela,ATL,CHO,W,21.55,2,2,1.0,0,0,0.0,2,2,1.0,1,6,7,1,1,2,2,3,6,7.8,2024-10-25
Tre Mann,CHO,ATL,L,24.95,6,19,0.316,2,7,0.286,3,3,1.0,3,0,3,4,1,0,3,3,17,7.8,2024-10-25
Pascal Siakam,IND,NYK,L,23.22,5,11,0.455,0,4,0.0,2,2,1.0,2,3,5,2,0,0,2,1,12,7.6,2024-10-25
Ryan Dunn,PHO,LAL,L,13.52,3,5,0.6,3,5,0.6,0,0,0.0,0,3,3,1,0,0,0,2,9,7.5,2024-10-25
Deandre Ayton,POR,NOP,L,32.93,5,14,0.357,0,0,0.0,0,1,0.0,2,13,15,2,0,2,1,4,10,7.3,2024-10-25
Jalen Duren,DET,CLE,L,29.2,2,4,0.5,0,0,0.0,1,4,0.25,3,4,7,5,1,1,1,5,5,7.3,2024-10-25
T.J. McConnell,IND,NYK,L,16.2,3,4,0.75,0,0,0.0,1,2,0.5,0,2,2,5,0,0,2,0,7,7.1,2024-10-25
Jalen Smith,CHI,MIL,W,14.83,4,9,0.444,3,5,0.6,0,0,0.0,3,2,5,1,0,0,1,4,11,7.1,2024-10-25
Kris Murray,POR,NOP,L,15.0,3,5,0.6,1,1,1.0,0,0,0.0,1,2,3,2,0,0,0,1,7,7.0,2024-10-25
Gary Payton,GSW,UTA,W,12.75,2,3,0.667,0,1,0.0,0,0,0.0,0,1,1,2,3,0,0,1,4,7.0,2024-10-25
Lindy Waters,GSW,UTA,W,6.82,2,3,0.667,2,3,0.667,0,0,0.0,0,1,1,1,1,0,0,0,6,6.7,2024-10-25
Jalen Suggs,ORL,BRK,W,21.63,3,6,0.5,2,3,0.667,2,2,1.0,0,5,5,1,1,0,3,2,10,6.4,2024-10-25
Delon Wright,MIL,CHI,L,13.13,2,3,0.667,1,2,0.5,0,0,0.0,0,0,0,3,1,0,0,1,5,6.4,2024-10-25
Mason Plumlee,PHO,LAL,L,18.98,3,4,0.75,0,0,0.0,0,0,0.0,1,6,7,0,1,0,0,4,6,6.3,2024-10-25
Tim Hardaway,DET,CLE,L,23.17,3,6,0.5,3,5,0.6,0,0,0.0,0,3,3,1,0,0,1,1,9,6.2,2024-10-25
Garrison Mathews,ATL,CHO,W,18.53,2,3,0.667,2,3,0.667,2,2,1.0,0,1,1,0,0,0,0,2,8,6.2,2024-10-25
Drew Eubanks,UTA,GSW,L,5.5,1,1,1.0,1,1,1.0,1,2,0.5,2,0,2,2,0,0,0,0,4,6.1,2024-10-25
Eric Gordon,PHI,TOR,L,20.38,1,4,0.25,1,2,0.5,5,7,0.714,0,1,1,2,0,0,0,1,8,6.1,2024-10-25
Royce O'Neale,PHO,LAL,L,27.93,2,5,0.4,1,3,0.333,2,2,1.0,0,4,4,4,1,0,2,3,7,6.1,2024-10-25
Chris Boucher,TOR,PHI,W,19.27,0,5,0.0,0,4,0.0,4,4,1.0,0,3,3,1,2,4,1,0,4,5.9,2024-10-25
